Liked Songs	Artists	ID	ExCol
Up&Up - Live in Buenos Aires	Coldplay	Live in Buenos Aires	3glegOEXSkk8HanJe7ZB08
blister in the sun	mxmtoon	true colors (from Life is Strange)	67R2o66mXhr0DwGCuhxGDX
I Ran Away	Coldplay	The Scientist	1DQoNwxygxmQVH972Ha75w
jar of hearts - live at the ocean way studios	Christina Perri	the ocean way sessions	4837kNWGD6qqRESyOL2Dn1
Violent Silence	Beatrice Eli	Die Another Day	6AnzVgbwkYlH4FREyLDYen
Love It Gone	Luke Bryan	Kill The Lights	4Jsbzjy8a0srbC8VFBLixA
Old Friends	Brantley Gilbert	Fire & Brimstone (Deluxe Edition)	6nALpEo7HOgVaKgoDHJ58V
Can You Afford to Be An Individual?	Nothing But Thieves	Moral Panic	1fjygBqOg8E1t6RnYu5GIC
Look Over Your Shoulder (feat. Kendrick Lamar)	Busta Rhymes, Kendrick Lamar	Look Over Your Shoulder (feat. Kendrick Lamar)	5aULAy3NUfelCYKub4mOS9
R.O.T.C (Interlude)	Kendrick Lamar	Overly Dedicated	3z755eqOJhtYr52K31oQ4b
GTFU	The Head And The Heart	Every Shade of Blue	3Ey7TRranHX1YmpJHIRLnC
Enemy Lines	The Head And The Heart	Every Shade of Blue	1pCXxjJPH9pUMh0SHZfALs
What Happens In A Small Town	Brantley Gilbert, Lindsay Ell	What Happens In A Small Town	3g9OCNXY2aSbGRQGY17qVE
The Heart Part 5	Kendrick Lamar	The Heart Part 5	5MMW4CZsZiZt2iuqAXzzWC
sad disco	mxmtoon	sad disco	2AuvCgODcdFVPHdErDoQuY
2step (feat. Lil Baby)	Ed Sheeran, Lil Baby	2step (feat. Lil Baby)	2UN0lp72LAusrXi8LLVomt
Bad Liar – Stripped	Imagine Dragons	Bad Liar – Stripped	6hFi0gXP8KItwMqfBgf44b
Summer Bummer - Snakehips Remix	Lana Del Rey, A$AP Rocky, Playboi Carti, Snakehips	Summer Bummer (Snakehips Remix)	3zUhzxygBLNN1HZQhkDqRT
The Zone	The Weeknd, Drake	Trilogy	1p3vijWl4pezgUtyCmCVln
Awkward Conversations	late night drive home	Awkward Conversations	3IWMJdzSOZyGi9jMGIWmrU
Cake	JDM Global	Cake	2BifEDOhNbJwCm1ucMMZYI
Churchill Downs (feat. Drake)	Jack Harlow, Drake	Come Home The Kids Miss You	3EMp20j5E42MxfFbsEsIvD
at least i'm pretty	Harriette	at least i'm pretty	5o9iQVktO08gIlRAHqqxtj
The Boxer	Jerry Douglas, Mumford & Sons, Paul Simon	Babel (Deluxe Version)	5o9I4iqVUnEiJELclsRbhk
Therapy Music (feat. Russ)	Logic, Russ	Therapy Music	3WRT8uD7wYPzIJagtFRVjF
This Love (Taylor’s Version)	Taylor Swift	This Love (Taylor’s Version)	4d1CG5ei1E2vGbvmgf5KKv
it’s time to go - bonus track	Taylor Swift	evermore (deluxe version)	1kdWw77ZpYOkhxeuhzU1j6
Regina George	24hrs, blackbear	Regina George	7htIBX6E4Rpy7rIib7DasS
Milk	The 1975	Milk	0fzqnqxwSh5Bmq8sY9tFb9
Shine	Joey Bada$$	The Light Pack	64Dy3qJDCFug6CySbswdbO
Find My Boy	Alessia Cara	In The Meantime	2rmf4QaSE174hUEObAxLpw
In Your Eyes (feat. Kenny G) - Remix	The Weeknd, Kenny G	In Your Eyes (Remix)	1SySkCqhEG6Z68o2n07Bsr
Love Like This - Live from Irving Plaza, NYC, 4 Dec 2018	Kodaline	Live from Irving Plaza, NYC, 4 Dec 2018	4sSeeljAInjbhGIziComGH
Breathe Easy	Jason Wade	Paper Cuts	1zi5tzAaRPyOCuafDbHm9F
Parachutes And Airplanes	David Archuleta	The Other Side of Down	3L0rZ3xO4Knlns7yFenECO
Woman - Single Version	Cat Power, Lana Del Rey	Woman	1HG8xfsFVtu415WNChKcoa
somewhere over the rainbow	Christina Perri	songs for rosie	6wBvYT6vlqbmipvEDtQpA5
Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show	Kacey Musgraves, Camila Cabello	The Kacey Musgraves Christmas Show	0gWKtvF3IGZKZprlDEKZKo
here comes the sun	Christina Perri	songs for rosie	0dd5fVnl2V03BdZD5dKYgQ
all is found	Christina Perri	songs for rosie	1L5oUVJgEvhbvW3eeqMZUH
