Queued Songs	Artists	ID	ExCol
sinking in	Will Heggadon	Sinking In	spotify:track:0MiL37FKafATzKZoXoudAX
Monsters	brother sundance	Honey	spotify:track:6UNw0hSdSzD4Gvhq4QY9Q6
Snow - Single Edit	Axel Flóvent	Quiet Eyes	spotify:track:0a7qaJiCuofx2iK5HneFwg
Fall Asleep	Jars Of Clay	Inland	spotify:track:5DNmBJfocsqde3uCX9ws6Z
Ocean Sunset Motorcycle	Zach Winters	To Have You Around	spotify:track:2VAS9KhwRIXyEwu8PqB5h6
Dreams	Wanderer	Dreams	spotify:track:4AcwVewGZyVTycghkVzZaN
Wishing Wells	The Colourist	The Colourist	spotify:track:6DTqIWeDKBhA6nJVeD8L8l
Steady Love	Evergreen	Evergreen	spotify:track:1edyR651JIWLDCN0G75t3n
Bless Your Heart - Acoustic	DENM	Bless Your Heart (Acoustic)	spotify:track:4GzjBY3viCZtwRawM7SBsI
Mightier	The Daydream Club	Lux	spotify:track:4YLwRsqENGCJEFJ9w2I21D
Infrared - Luttrell Remix	Tall Heights, Luttrell	Infrared (Luttrell Remix)	spotify:track:7cPRLxtlNlz9FhyA26uPRT
Must Be Dreaming	Bien	Bien	spotify:track:5dvQSx4sgDQUV5xgCP5BEd
Distraction (Acoustic)	Angels & Airwaves	We Don't Need to Whisper Acoustic - EP	spotify:track:2zZZusWbypEZShCO9XCrDR
Heartache	Relient K	Air for Free	spotify:track:2ycg35YLzzBFwk4mY8Ubz6
Whimsical Toad	Alan Gogoll	Mulberry Mouse	spotify:track:6KCmmnCFYxkvpLdBN9lejG
Promises	Lovelast	Home	spotify:track:227w0M3obLr9fzmcwDXo4U
Nothing Left to Lose	FIELDS	In the Morning	spotify:track:4xLcLy2Za3buNBuM9O5vlF
Dissipate	Elliot Root	Conjure	spotify:track:2akbOKU8TPpj5y9k6cuRHE
Where Are You (Acoustic)	The Moderates	Where Are You (Acoustic)	spotify:track:7K2z0cbQ4WaJG4wb2GVuSF
World of Blue	Jordan Ruiz	World of Blue	spotify:track:6ZZsbI9qn2FWwWuZkeHocS
Faces	MyKey	Faces	spotify:track:3uKooFKliOYN3yTWJXvwOU
Red Balloon (Acoustic)	Deal Casino	Calidus	spotify:track:5Iikns8gHrgkr2QaK6atit
Not The One	Ade Mai	Not The One	spotify:track:0PQFkHo7Np34jUHpxtuwCV
Fly a Kite	Little Image	Musings	spotify:track:3HwsQMFCvy3RXV7cBac6Ki
715 – CRΣΣKS	The Nor'easters	Collective, Vol. I	spotify:track:61AF1bYUt4XvndQKbNc61f
Texas Tea	Jon Bryant	Two Coasts for Comfort	spotify:track:5G8OzffnHuUkIhm8yBCkny
Warriors - Stripped	Tigertown	Warriors (Stripped)	spotify:track:07yessrLocFGodkm1OeQzD
Open Eyes	Phillip LaRue	Cello	spotify:track:6k9GoFKoifqbceXlstLCHT
Autumn Bird - The Exitus	Nick & June	My November My	spotify:track:0OdLi0WCxJ4qhFQRolMqkS
Wander	Medic	Wander	spotify:track:6SOuFpQ90Y8pzwYK0wMxA7
Where Do We Go	Mos Isley	Where Do We Go / Mirrors	spotify:track:2JHX5diidjjYHkUN3S3DCi
Here's to You	Nieves	Here's to You	spotify:track:29vAMfpjjHQ3Ml4mVIEKoI
Horizon	Andrew Belle	Dive Deep	spotify:track:3zWevIe2WHEkpiN6od55js
One Last Time	Jaymes Young	Dark Star	spotify:track:1Dhn8urPQTReGSmpRCXASj
Cynical Youth	Debrah Scarlett	Cynical Youth	spotify:track:1fr128rm4oKznCQZq6HugC
OK	Branches	White Flag (Deluxe)	spotify:track:4pw0MQBleoXGybc6XmZalW
Safety	Young Mister, Nick Bays	Safety	spotify:track:0AJaRPTMYNECFNvQbaxs5H
Stay	Julian Lamadrid	Stay	spotify:track:1XesVR78iwdO9GPfYbfXRd
Darkest Nights	Keels	Darkest Nights	spotify:track:3uTiszoukjmZMwM3iaDJZt
Change Your Love	Twiceyoung	Change Your Love	spotify:track:4UFUwksZC2FH1GQFXKBxm4
Passenger Seat	Arkells	Morning Report	spotify:track:6YnrCLIFvf0kbtB0hmvJHs
Miscarriage	Said The Whale	As Long As Your Eyes Are Wide	spotify:track:5iOUhZ7h28lRNybeLvNVcM
Young	The Band CAMINO	My Thoughts on You	spotify:track:19Su1geq98yWYTe5wXTgAR
Obsolete	Nick Wilson	Darkest Hour	spotify:track:5MnhRtyBn91fn9dJhYMHK9
Washington Square Park	Tor Miller	American English	spotify:track:2gTosgahary7CeIvmdvzKo
Iscariot	Fundamentally Sound	Uncle Murgatroyd's Music Box	spotify:track:29dMH2AqWXI1lzgguChD3C
Snow	Jome	Tunnels	spotify:track:4iYVUxxWKVhO4hQIPvlEOl
How Did You Find Me?	Good Old War	Part of Me	spotify:track:4Id9YgPwEog2xIo535CrEp
Frames	Luke Thompson	Hosts	spotify:track:6MnlPtSUUcsi6rvTigCiHf
The Heights	Knox Hamilton	The Heights	spotify:track:2CiOA3OdSthIK4kegRqsQs
Losing To You	Stars	There Is No Love In Fluorescent Light	spotify:track:68az5Dj20Lgf9f4IE7zVQU
Breathing Fighting Love	The Paper Kites	twelvefour: outtakes	spotify:track:599JfYsFaHEgjZCK0mMyll
Okay	Winter Aid	The Murmur of the Land	spotify:track:3erK2zVjfTw1lNoV5PLJl6
Waterproof	Nik Ammar	Life Stories: Songs For Drama	spotify:track:1bzMQ61iXMmHfTU4ChXP9q
Wilder Days - Acoustic	Tors	Wilder Days (Acoustic)	spotify:track:4gtWOs9s5NzA89qIVztMyw
Chasing a Feeling	The Narrative	Golden Silence	spotify:track:0WcR5Ekud8Olx8z4q3vl2T
Hostage	Griffin Oskar	Hostage	spotify:track:7EbsWLCPQ9pjpQf6hYmKYi
Who Is Next to Her Tonight	Rod Ladgrove	Who Is Next to Her Tonight	spotify:track:5iZ3D4tTB0mAz7qQniWlNr
Round & Round	The Spacies	Round & Round	spotify:track:6NzjdVLDL8RivkBF4nyKfG
Caught in the Strange	Racing Glaciers	Caught in the Strange	spotify:track:1DuC78YfIcfrQmk7fhtKys
Dying Alive	Christian French, Triegy	Dying Alive	spotify:track:4M16nvTxhR9VCrfj1JMc6I
Grow	Paul Travis	Braille	spotify:track:2QbOMlQzVqxjISySuGMDD7
So Long the Buildup	Royal Tusk	DealBreaker	spotify:track:102S68NrJIOBfovQqARRRQ
Heartbreaker	Autoheart	Punch	spotify:track:2sF9Mq4TWW2iSM8c0x1Aai
Sing When No One's Around	The Reign of Kindo	Play with Fire	spotify:track:4FB5Dw9J1Ynyadk211ulDi
Hän on toivoni	Suhe Live	Suhe Live	spotify:track:6uQd6PJOXEqjNqLi56k9cX
the peaks (feat. Kimberly Anne)	Lewis Watson, Kimberly Anne	the morning (all of the songs)	spotify:track:4NAztp2fEbDS2HOcqbnptW
1435	Selfish Things	1435	spotify:track:4aIoSHvifFFzGMOeZbztDh
Haunted	Acceptance	Colliding By Design	spotify:track:4OIVD4E7fML7Zw2XgKtYGk
Mad Love	Honest Men	Mad Love	spotify:track:1UVoaPgBQbKxUSUG9unxAw
Timing	Bilmuri	Bilmuri	spotify:track:5u2E0w3zsL8YFmLnsIORX3
Caroline	Civilian	You Wouldn't Believe What Privilege Costs	spotify:track:4QZsaosBxHmUVb1RDTMwil
See You Again	John Adams	You Never Know Who's Listening	spotify:track:6qmgOFiatpB6gSDNRAYgDV
Think About It	HAWAI	Think About It	spotify:track:22vxNnB6caeopIYx0TYReD
Sift	Envy On The Coast	Ritual	spotify:track:6gEFVgywcgbu1fI11nDfhs
Even If It Kills Me	Oh Jeremiah	Even If It Kills Me	spotify:track:7CfHmCKb5Sx8UtYq9dG5dp
Of Wilderness	My Epic	Of Wilderness - Single	spotify:track:6Qhb6CVi4lZhCHBpgXXY2A
Be Quiet	OWEL	Dear Me	spotify:track:07vQfjGh0mFrQ36mwM0kdq
Trace the Lines	A Lot Like Birds	DIVISI	spotify:track:1ppbAWiGjM29YJWKXproeY
Here Is Where	There Will Be Fireworks	The Dark, Dark Bright	spotify:track:15cJsnwS08hhIhRCPtytWw
Second Wind	Andreas Moe	Before the Rumble Comes	spotify:track:4Cdz8n7UhlBH45L6kea61T
Wilderness	TREY	Wilderness	spotify:track:5rPSfNU3oYMQDEizYYg30u
Hands	Moving Mountains	Moving Mountains	spotify:track:39GIuyr03h7MZYWJPdXLKz
Starlight	Lyon Apprentice	Starlight	spotify:track:6MywvoMSq1J1txjbMMuTz9
Did You Think It Was Right	Old Sea Brigade	Cover My Own EP	spotify:track:6SrtNzIib7h8itljpOaTNy
Fall Harder (Live Piano Version)	Fractures	Fall Harder (Live Piano Version)	spotify:track:2SvNRNEHIIBKAxjQFTq2LW
Leave a Light On	Brumby	Leave a Light On	spotify:track:0MN8RRyHA5BvRwmcU0Ndfh
Learning How to Love	Colony House	When I Was Younger	spotify:track:631hvSSsxGYT3DOBVVS4qM
Ghost II (feat. Yøuth)	Corey Kilgannon, Yøuth	I'll Be Here When the Moon Is Tired	spotify:track:5Na2pKJssvg7jlVLjlolks
As Before	Anders	As Before	spotify:track:6sqjzxJ5M6p2sAGzeNZzoF
Getting over You	Jake Etheridge	Jake Etheridge	spotify:track:6ytAcZ6mytEbWAGq9JeIWI
Ghost	Matt Gresham	Ghost	spotify:track:4bdT2WrzBad4OSmUwHVyVl
Sleeping with a Ghost	Jeff Carl	Survive	spotify:track:1qjzMmZN81uyNabWVNmbt1
Stars in the rain	Aimer	Daydream	spotify:track:1kjJBOxlBU7dncf7ekn6b1
End of the World	Night Riots	Love Gloom	spotify:track:4DefqES1oDO6CuaUivb0I4
Sew My Name - Live At The Sydney Opera House / 2015	Josh Pyke, Sydney Symphony Orchestra, Christopher Dragon	Live At The Sydney Opera House	spotify:track:5bXYkH4k6tIxTVl4cra3g7
Fall	Family of Things	Family of Things	spotify:track:1gAEzWSUUOZqmyw6nxF9Cb
The Things You Were	Deas Vail	Birds & Cages	spotify:track:2BNZgzSRDbLPQ1tUAJSmcC
Poison.	luhx.	Poison.	spotify:track:4CFSCMRSdMp7HdjBQ9FssH
Moving You	VACAY	Moving You	spotify:track:02Ivb3ClHTmgKzGszfMyCg
Stop It - Stripped	Sleeping Lion	Stop It (Stripped)	spotify:track:4G8hcrkEmz5e1mUKDUNvLJ
Rest in Paradise	Astronomyy	Rest in Paradise	spotify:track:272LGhU84OINigzqplAv5t
Currents	Whisperer	Whisperer	spotify:track:11jzYQcFcGpjXlTWVghPCI
The Days	Josef Salvat	Night Swim	spotify:track:4GIQe408U8mBhB6JNbUpT1
Hit & Run	MRKTS	Last Call	spotify:track:61zK9RIVeD9fcbmEqJ0thK
Clouds	Before You Exit	Clouds	spotify:track:0FiInivN1aBhzKM3UtHM3l
Cleanse	Boatkeeper	Windward	spotify:track:7Icv8qVza1msMYvXW6cuVC
Lights go out	RADWIMPS	人間開花	spotify:track:225cHtPBs6x2QvtS3iKZcJ
Bohemian Bird	Grizfolk	Waking Up The Giants	spotify:track:1v2unMlUnElwugNtfzR1Zp
Some Nameless Days	Imaginary Future	Fire Escape	spotify:track:5CZP9cfiDqbV7lnZGF8WRs
Comes And Goes In Waves - 2013 Remake	Greg Laswell	I Was Going To Be An Astronaut	spotify:track:6AM2EPDzlozGJYgmPVbAFT
River	Fate Under Fire	River	spotify:track:1zSqLFmuL6mDCVbZNj7hTR
Caesar	John Lucas	A Thousand Cathedrals	spotify:track:3iUl9VrlXqxpkFYMgBzwmc
revive (Introduced Species)	Hands Like Houses	reimagine	spotify:track:7CXD9xGCpxlPVSjvzCcbFF
Wild Horses	The Careful Ones	Pegasus	spotify:track:4sBYVZAPODV2fxcoZhSD5G
The Mountain	Ed Prosek	Flesh & Blood Part 1	spotify:track:4VR3rTlDwB1tB8f0Q2R07e
Heaven on Earth	Sinclair	Sweet Talk - EP	spotify:track:6lpWuErHIjns3WkhlEW7fC
Then There's You (feat. Gabe Dixon)	Shannon LaBrie, Gabe Dixon	War & Peace	spotify:track:3WcqWs2kOWe8j1NSSQOtzd
Take It All In	Trent Dabbs	Take It All In	spotify:track:2jK1K4qOMNRAsCDnnC95nU
Spaceman	Francois Klark	Spaceman	spotify:track:2rU3ac6viF0N2BWwOl1TGX
Mystery	Patric Johnston	Old Friends New Friends	spotify:track:2GY4K98Z9aNHZLgEUdmanD
Wildflower	Dave Barnes	Carry on, San Vicente	spotify:track:6WmLBlA7pfYOhIF3sRIujN
I Fall Hard	The Strike	Faint of Heart	spotify:track:1I6BaMLOxoQvj39VBpbOrL
Oil & Water	Lee DeWyze	Oil & Water	spotify:track:6gKJn6UNWxTGJGgMJZeAkT
Trouble (the boy who cried, I am a wolf)	Clans	Trouble (the boy who cried, I am a wolf)	spotify:track:0PwGfjgR4Q2dH0aBzC4epI
你的城市	声音玩具	你的城市	spotify:track:5f4ziEgTscKnFIMlFduaV4
雪でもいい	Misako Odani	CATCH	spotify:track:4xbirzL237YcyyGiSXsoLg
Princess of China	Pitch Slapped	Complexion	spotify:track:48Wgf1reAazBSbh3XmcwwI
Here With You	Jake Nauta	From These Hands	spotify:track:7vaEJOPNhirIMztid1GqCb
Find My Way Back	Eric Arjes	Find My Way Back	spotify:track:2O23hQ1m9qhCGDQuqRX7yZ
Get up and Go	These Your Children	Get up and Go	spotify:track:6Lb2OV6Jrrp9AUxmbTLjIu
A Way for Us	KAINA	Rise	spotify:track:6PAnVQDNRHN8JBqVuobyuz
I Hope I’m Wrong	Dessa	Chime	spotify:track:2BqfegTLskBjJpEdwPAlM9
GHosts	New Empire	Symmetry	spotify:track:0VLkr3WgdExnM3T3O5NA8B
Seasons	Tim Atlas	Lost in the Waiting	spotify:track:6NAgtfg7s5P5VmFhhTWRTC
Home	Cam Nacson	Home	spotify:track:4w7JxFezjpnLzQEizZkyRW
Love You More	Adam Watts	When a Heart Wakes Up	spotify:track:0SizlXxESE3dWuOUgqV8UW
Maybe	Luna, Luna, LAEL	Maybe	spotify:track:4kqfatcqZ2avYrqpJC2ePU
Home	NEWCOAST	Home	spotify:track:4Wus36Hgdht8kbW9WCJ0qN
All Good	Dave Thomas Junior	All Good	spotify:track:5TFa7J7f5FPIuhjZrIdnT7
Ecclesiastes	Army of Bones	Army of Bones	spotify:track:0T37q1k8Z7aMiL5LXykgrt
Ascending	The Lighthouse And The Whaler	Paths	spotify:track:5h5Vdyy1p5ZHrrAuFLdgaT
Mother Tongue	Joshua Moss	Mother Tongue	spotify:track:6OLCKFLE1LRrjsbF8eEY6s
Alcatraz	Oliver Riot	Hallucinate	spotify:track:1u2CN23PR0T2BHfXRNHwnM
Sweet Water River	Ciele	Sweet Water River	spotify:track:3H6mcqCqBIl5GLZxx7yzHy
HEAL	AUGUST	HEAL	spotify:track:4sRxvauRWhetdUMga1kHqV
Hide & Seek	Garrett Garfield	Hide & Seek	spotify:track:4SMiqXTr0GYegC3qQHMrOA
Closure - Acoustic	Vancouver Sleep Clinic, Drew Love	Closure (Acoustic)	spotify:track:3MF9H4PXrvJTr94npGliSt
Surplus	Spectre Jones	Surplus	spotify:track:0xNhcJSTJm5M3ebEXj2gf0
Frozen Over	Michael Schulte	The Arising	spotify:track:49sUfzXeq2iBO7iZwWmuoh
I'm over You	Bryan James	I'm over You	spotify:track:0PcRjHt0D5tls5DaxW8fBE
Culture Cut	Great Awakening	Figure It Out	spotify:track:3LfXiWT9vKdxF5m0SCxqox
Into the Void	Saivs	Into the Void	spotify:track:69CXE1Wh3Na7NXBxwGB6uS
Mannequin	Night Argent	Mannequin	spotify:track:1NnD4Lbp7DFPLI2IGYQHPV
Half the World	Arcane Roots	Melancholia Hymns	spotify:track:2v4JRXNQxm44qGrtmQUZk8
Not the One	Breakaway	The Light That Keeps Me Awake	spotify:track:288pSIamCQcQs627DgEnOw
Neige - Live / Acoustic	Black Foxxes	Headsick Sessions (Live)	spotify:track:3uUpO9tT15hIAUS9l13JC9
Numb (Acoustic)	Speech Patterns	Numb (Acoustic)	spotify:track:1NOT2IfsbS5f3J4JbIuDVA
Backyard	Whale Bones	Island Fire	spotify:track:6dYb5Txu6qsVPRYSZlTHwc
You and I	Lucian	You and I	spotify:track:7zCYfoUyuhPrVbKTERFFs5
Greyhound	Woven in Hiatus	Anatomical Heart (Deluxe Edition)	spotify:track:1oHHT3nkcvimF8Hscss5sA
Falling Down - Edit	This Wild Life	Falling Down (Edit)	spotify:track:6jRNplNtd8xT0sc4iUJyW5
Drown	Boys of Fall	Years & Acoustics	spotify:track:3W15F631diZyo97EpaFOsX
Wolf	Beach Weather	Basement Sessions	spotify:track:3gPD7YfsOuYmbZ3NupeoY8
Hard to Love	Stateside	Naïve	spotify:track:7KjymQAZgA7WMaQwNZf5gS
Like a Candle Burning Slow	Danger Silent	Oceans	spotify:track:3y7LyinRHyin4BS4PZ6fCk
Transitive Property - Park Slope Version	Bayside	Cult White Edition	spotify:track:7FvGPBN1hkHARjpDV25bsB
Anaheim	Nicole Zefanya	Anaheim	spotify:track:0JhILyKbyQnhAo6FHSSIRA
Rhythm in My Soul	Jonny Craig	Rhythm in My Soul	spotify:track:1pE2RvhQ2JspMmi9EQrhlW
Cold Heart Killer	Lia Marie Johnson	Cold Heart Killer	spotify:track:1IPfImi6ZtZlZo90xPigfM
Below	Embracer	Below	spotify:track:7zQx3hBzUp2cb3QMVeAXp0
Collide - Acoustic Version at Soundtrade Studios	Normandie	Inguz (Gold Edition)	spotify:track:5mKNIIEU0tRrr5mVMTmTQE
Plus que mes doutes	Kyo	Dans la peau	spotify:track:5WZ9H3MqfURR2lIk6jNqTW
Deception	Macntaj, TeZATalks, Donte Peace	Deception	spotify:track:3tCH3XkqBS5AvgTQu3yDqQ
End Of A Good Thing	Cory Wells	End Of A Good Thing	spotify:track:6F6MrtUbHqf7AASOXDMlMp
Memory	Westover	Memory	spotify:track:0L86iAH457hcuG3jTyOUKM
What It's For	Tobe Nwigwe	Tobe From The Swat	spotify:track:1qLnQiMyySaNOqgVPrBT9h
Jack Of Spades 2.0	Joshua Luke Smith	Jack Of Spades 2.0	spotify:track:7Byqf6x2fHnsBzuE4TOIpn
The Reason I'm Here	Anoyd	A Time and Place	spotify:track:5JS93WeSe0uPabNji2Tw61
Go	Vocal Few	Go	spotify:track:57DwpDYNbI1QngVijfBKfP
The Unimaginable	Murs, Robots&Balloons	A Strange Journey Into the Unimaginable	spotify:track:7sAolmiVIoDGzM7ngY9W9E
Sanctuary Cities	Levi The Poet	Sanctuary Cities	spotify:track:2zz15YtmK6WYW2Dff5fPRm
Seasons	K.A.A.N.	Paradise / / Lost	spotify:track:37GCgnzfkdXRsHLW7jiQat
By My Side Too	Evidence	Weather or Not	spotify:track:6jpWv7B0PQlb9Io030jbEI
You Like to Risk It All/Things Will Never Be	Black Milk	FEVER	spotify:track:2lzpiQBQJfX9jVXP4EIP15
Reunion	V Don, Adonis, Eto	This Thing of Ours	spotify:track:13t1jKD9KGw6ZBuijTCN6s
There’s a World / Hero and Leander (Live)	Aaron Tveit	The Radio in My Head: Live at 54 Below	spotify:track:1XWhN4syv9mPV0dXGduwpu
Mother Amerikkka	Fashawn	Manna	spotify:track:6Y39c9OWlaWjdj13jPPTzG
Camel Crush	Meyhem Lauren, DJ Muggs	Gems from the Equinox	spotify:track:1lvCq9nnKzKRWjmCegEZ2u
Fajita Effect	The Doppelgangaz	AAAAGGGHH	spotify:track:3UAdyX2kOmptZc366fVotH
Lullaby	Belly	Mumble Rap	spotify:track:2PMYUf7pLMU4OOnzp4xJ84
Never Fall Off	Apathy, A.G.	The Widow's Son	spotify:track:4LU78bnblRMZWetuxRBBOU
Muse	Roc Marciano	RR2: The Bitter Dose	spotify:track:64jaoSsbrABb9bPPB7dPjT
Black Sheep, White Dove	IDK	IWASVERYBAD	spotify:track:0lWNB6uPxEKEBwY06GQTKm
Kill Us	Trizz	Kill Us	spotify:track:1Tv8Qfoir8zfBmCPkbfeg3
On the Line	Blunted Beatz, Micah Xavier Jones	Emotional Control	spotify:track:6zUY3gn7U5S2wixGVD6rd5
A Hero Dies Once	Blueprint	Two-Headed Monster	spotify:track:0LYsVntFZaffBsJ7VABkXb
Another Day	Blu & Exile	In The Beginning: Before The Heavens	spotify:track:2GFr1qKDZcByge6O956l2B
Thoughts & Prayers	YEAR OF THE OX	Thoughts & Prayers	spotify:track:2c8kadrKOZrzw7ubtkQFJC
Plane Gang	Reks, Akrobatik, Edo. G, Termanology, DJ Deadeye	The Greatest X	spotify:track:7Hx8UqUoex9SfyV25Jx3cX
Intro (Turn It Up)	Illa J, Dank	Home	spotify:track:2OljleXdxu74UgIcAw0dtu
Collision	Hayden Calnin	Collision	spotify:track:2eRPPaLMtKXNnnc2UlJf8K
Fear of My Crown	Chris Rivers, S.E.A	Delorean	spotify:track:1ePpt2Pfj3es5OkUK5EDZA
The River	Chris Loco	The River	spotify:track:1VhfCCfSlzE0RgZlIH0gng
Wild Honey	Jessie Early	Wild Honey	spotify:track:0YH9zdzES9TqYGPPLE0mQ2
One Day	Lawren, Beleaf	Pieces	spotify:track:6oH5sjilDhOF7cZpkocOJc
We're a Lot Like Trees	Paper Lights	Great Escapes	spotify:track:16HtCpzs4ZImhuWY3XLJt6
Alright, Kid	Yøuth	Blame	spotify:track:75nFtdsEEXnGewigvGXenb
Sundown	namara	Sundown	spotify:track:3MMoSGatcGMrtSRLCBOsI6
New Day	O.C., Tay Bell	Same Moon Same Sun	spotify:track:1mw4ZBlcQbnn3muqeUuk8u
Frank Ocean	Mir Fontane	Camden	spotify:track:5AetLRcSQpvsflK7f1X4oR
PATIENCE	ISAAC LEE	PATIENCE	spotify:track:4ZSXatzfKeNRRmOPaeF0eO
The Pilgrimage	Planet Asia	Mansa Musa	spotify:track:1qanQkfQOMmSYU3zx9ZWAv
Jumpin' Off/Victory Lap	GRIP	Porch	spotify:track:0RFqL2CkNxSu09hkecPjkk
Poison	YAS	Poison	spotify:track:3tNFD1jgOxmc60DU8bkPf4
fogbound ( + 池田エライザ )	Kenshi Yonezu, 池田 エライザ	BOOTLEG	spotify:track:0muMmFeWZnYzPyvld49ITg
What We Used to Do	Grandpa Loves Rhinos	What We Used to Do	spotify:track:1c4NFFOBsx2JNoGoa4alid
Wildfire	Andrew Ripp	Wildfire	spotify:track:2j8dxjngJuslQJ88s3ecsq
In The Beginning	N.O.R.E.	5E	spotify:track:1XTXyKBUHLPe31Q9kejDFO
T.R.U.S.T.	Lydia Evangeline	T.R.U.S.T.	spotify:track:2mq2gb2wqmF5w9KzXCdffq
Bonfire Light	LaPeer	To Brighter Dawns	spotify:track:2Quhl5m3TOPxlxNcv7ZIIa
HEARTBREAK KID	SAINTS OF VALORY	BLEEDING RAINBOWS	spotify:track:7mdopc73mhTWKxyPxz2XIv
Creature Machine	TRALA	Creature Machine	spotify:track:79q4o7B8HbffaoXRSFiPbi
The Pact	Rain City Drive	Beautiful Death	spotify:track:6O6q4pkNBNgsuthObfnQXo
FOR HiM	BiSH	THE GUERRiLLA BiSH	spotify:track:6Tj2cs6rcN0e29uQ90iw79
8 or 9	Hugo	8 or 9	spotify:track:1ytU1sWsWbs2x7IHzesBSx
Melatonin	Birds of Bellwoods	Melatonin	spotify:track:5TJDKPdvPCYxw75FQsMcjo
Black Inca	Gunplay	ACTIVE	spotify:track:5SU8bP7MDEExKG2nb3QVrz
Body Body	Victoria Victoria	Body Body	spotify:track:544Y8lIUBGv4dHBle3MzSH
Mercury & Lightning	John Mark McMillan	The Mercury Sessions	spotify:track:1cnjEh7QraQ8GzlaJg3nLS
Strength and Beauty	Citizens	Strength and Beauty	spotify:track:6rWA2cE5TF6m1srLguuOaI
Right On	Ace Hood, Slim Diesel	Trust the Process II: Undefeated	spotify:track:64gLVLeqq77cOPI3S45KtU
Don't Give Up On Me	RIVVRS	Cosmic Dream	spotify:track:13KJJYZ7KM9GCSB8OmtiI6
Khedive	Styx	The Mission	spotify:track:7gNIHyJzR4MG5aZXMSqogC
21st Century Child	Daggy Man	A Lazy Kind Of Pain	spotify:track:7IzLJfighbbT8EN75cyR2E
Catch A Body	Casanova	COMMISSARY	spotify:track:0OBuEZC70J7ZHePahkb2eX
Honey I'm Sorry (Acoustic)	Joel Leggett	Honey I'm Sorry (Acoustic)	spotify:track:4zV9QWk0GqsdwKZ4UjI19l
Carolinafornia	Clyde Kelly, selam.	Carolinafornia	spotify:track:3Sp1xPVJKKburCTpyiqyG5
Death Rattle	NIGHT FLIGHT	Death Rattle	spotify:track:5scA274TOiSHUFL62jsp71
I Need You	Morrissey & Marshall	I Need You	spotify:track:5shxfXVkFrA0FCtWOX81Ze
Breaking Hearts	IshDARR, EMAAD, Ju Preach	Broken Hearts & Bankrolls	spotify:track:1z3biBuZuyoywGDeAXIJvp
Trying to Kill the Moon	Motherfolk	Trying to Kill the Moon	spotify:track:3RbLZdvXcHcwhduVDLD3r2
Over U	Satellite Stories	Young Detectives	spotify:track:0ij6utRfrLm60SqjnqSjaY
Ambitions	Lute	West 1996 Pt. 2	spotify:track:6zrzdLJPmsnBEVYid4Zgqs
Weathered	James Walker	English Bones	spotify:track:2Xzj7tbhc6FYcs5UeYWrki
Luna	The Dangerous Summer	The Dangerous Summer	spotify:track:4zf7Quz3er5yr5LksfLEj8
Promise Me	Moose Blood	I Don't Think I Can Do This Anymore	spotify:track:21TSu8GMI1WnixDMd5L6ND
No Apologies (feat. Strawberry Girls)	Kurt Travis, Strawberry Girls	No Apologies (feat. Strawberry Girls)	spotify:track:553bH7KpbF8sFuIAJXaUDJ
Where You Let It Go	I The Mighty	Where the Mind Wants to Go / Where You Let It Go	spotify:track:4clQio5WmoRhrcWzBzL9iR
Contrasting Colors	Speak Low	Nearsighted	spotify:track:0lcxdDzphSgysYQORGbU37
If There Is Light, It Will Find You	Senses Fail	If There Is Light, It Will Find You	spotify:track:1SoW6FBz6FdV7FTzIlx7y5
I Feel It on the Back of My Neck	From Indian Lakes	I Feel It on the Back of My Neck	spotify:track:4jKCqvVaDNlfxtvhpW1Ufh
All Alone	Eternity Forever	Unmixed. Unmastered.	spotify:track:3Zbnnv1gqe2m47AsGdpTLn
Laps Around a Picture Frame	Broadside	Paradise	spotify:track:5kBXJ9V4i822ZdyHgwSh0o
Children	Busty and the Bass	Uncommon Good	spotify:track:1egLXYlUsAtNCSHHqYRtZJ
Bad	Heavy Eyes	Bad	spotify:track:5S9FsVpHbeBlL4GmU4GApA
Control	Makari	Hyperreal	spotify:track:1B6h13JMm4VBcWT3sDl4mT
A Song For Ernest Hemingway	The Wonder Years	Burst & Decay (An Acoustic EP)	spotify:track:4Gm8HakHZTz4696PDZvrp3
Tunnel Vision	Circa Survive	The Amulet	spotify:track:2P78HxZ2jK3YPmum3rsLBK
The Gold - Slow Dancer Remix	Manchester Orchestra, Slow Dancer	The Gold (Slow Dancer Remix)	spotify:track:6c12jlPuYmdjTIGyy54i4R
Flowerchild	Citizen	As You Please	spotify:track:4cEZwZOHeqezMj2k4tzaD1
Coma Dreams	Icarus The Owl	Rearm Circuits	spotify:track:1p0cyg80DMfRnX6fGe9kUm
be right back	Ezri	be right back	spotify:track:0ZTMBBLMjTrafRrfRw2Qba
Matter	Kayak Jones	Matter	spotify:track:3sXBNXwjhwszQM97lPzOjy
Counterpart	Dayseeker	Dreaming Is Sinking /// Waking Is Rising	spotify:track:3Oa2r6WW6JhYsTVjChSWH2
Burn	Too Close To Touch	Burn	spotify:track:7I81Qea4UXABMWEEXDlEEw
Loti	Eidola	To Speak, to Listen	spotify:track:3T5IxqqVahOJGDpbPL62uV
Ghost	Have Mercy	Reaper/Ghost	spotify:track:1LbnApqWLv9PCgS2ZW184m
330 AM	VI Seconds	Demigod	spotify:track:1lT6vKAw94mabtyumSnFRV
Secret Love	Bellevue Days	Secret Love	spotify:track:39Yxt2gwrqPjmGAJzOjSkC
