Queued Songs	Artists	ID	ExCol
Would You Understand (feat. Carly Paige)	3LAU, Carly Paige	Would You Understand (feat. Carly Paige)	spotify:track:15SbvdiJ46LESbIjVYg8z7
Home	Madeon	Home	spotify:track:3o5OyQ2tghLhOFjemvEloF
Get Some Freedom (feat. Dragonette)	Big Data, Dragonette	Get Some Freedom (feat. Dragonette)	spotify:track:0JbzWshziiVH2Fa6tk5WRI
Full House (feat. Troy Ave & Heems)	Nick Catchdubs, Troy Ave, Heems	Full House (feat. Troy Ave & Heems)	spotify:track:5MzQCDEGs9T9vyAU5Tbi7r
Higher	Kate Boy	Kate Boy	spotify:track:4cipnaWNG03N8rYQGKfnXX
Keep It Movin' (feat. Serayah & Yazz)	Empire Cast, Serayah, Yazz	Original Soundtrack from Season 1 of Empire (Deluxe)	spotify:track:3gNVgxCFETeK0PtOSxkk9W
Make A Liar Out Of Me	Striking Matches	Make A Liar Out Of Me	spotify:track:6TZAMK4YVsnnd1lEyhbbQp
Heaven Sent	Best Coast	Heaven Sent	spotify:track:4znGPlVqO1SjtgVcVuPtFl
Irish Heartbeat	Van Morrison, Mark Knopfler	Irish Heartbeat	spotify:track:3pAfqPydVFTsNA5ealALBr
Faster	Matt Nathanson	Modern Love	spotify:track:6plKFdrBnKF0y3CRuceTDh
Satisfy Me	Anderson East	Find 'Em, Fool 'Em and Forget 'Em	spotify:track:1FY7w150g53lwZ0jmZrh43
Killer Whales	Smallpools	LOVETAP!	spotify:track:0qnOjNW04qpcgXqD9dwru2
Little Wanderer	Death Cab for Cutie	Little Wanderer	spotify:track:3R9olGkN5WyFEfvVKfH015
You Changed Me (feat. Chris Brown)	Jamie Foxx, Chris Brown	You Changed Me (feat. Chris Brown)	spotify:track:4G9Z4FZyAGHxveWj3sTNLx
Let It Happen	Tame Impala	Let It Happen	spotify:track:7lzwtE0vSV5i2EJeUhVGYK
Message	Will Joseph Cook	Message	spotify:track:1e0kaIBfhEbrk5vVuvJ3NH
Honey	Swiss Lips	Swiss Lips	spotify:track:71hbNiTi0NwSEHf7jUacHx
Taste	Braids	Taste	spotify:track:4DGGarn1k619tQdsg0Cgud
The Wait	Tobias Jesso Jr.	Goon	spotify:track:1T29jDqUEV3YpfjUC05xvg
Marble Coast Ft. Brolin	Saturday, Monday, Brolin	Marble Coast Ft. Brolin	spotify:track:4dAjQdKx2mUZIjBHFWxKco
Nonsense	Madeon, Mark Foster	Nonsense	spotify:track:6YnvgEoOgfE59tByZM6src
Can't Deny My Love	Brandon Flowers	Can't Deny My Love	spotify:track:2ylbo0xbhTmIA7WeBIVZvg
The Scene Between	The Go! Team	The Scene Between	spotify:track:6uYRvrGAvYbhN0ZwomJVSC
Higher	Sigma, Labrinth	Higher	spotify:track:39lxs02zC9wpqB0sxufKKI
Somewhere to Run	Krewella	Somewhere to Run	spotify:track:7AeYomUuCNb965CWyfLTjK
Lonesome Street	Blur	Lonesome Street	spotify:track:5G1TfH4JzJ3hGwtqCPUVvM
R E A L	Le Youth	R E A L	spotify:track:6yEizPbl4BiVkzVGKFeDtL
The Thrill	NERO	The Thrill	spotify:track:7DAp3DPBu9k7cDZbToxwpU
