Maybe Songs	Artists	ID	ExCol
Something Dirty/Pic Got Us (feat. Kendrick Lamar, Jadakiss & Styles P)	Swizz Beatz, Kendrick Lamar, Jadakiss, Styles P	POISON	spotify:track:2ZoxdWVXp1jytovFuul6yX
Everyday Life	Coldplay	Everyday Life	spotify:track:6WMf0Om41Z6HlMzXFuZ4F0
Locked Up	The Avett Brothers	Closer Than Together	spotify:track:73IEgQKzdaHtaHQFKiRTEP
C Sections and Railway Trestles	The Avett Brothers	Closer Than Together	spotify:track:5yvqtcOPiA8Dli9ULb6nsg
Wow Freestyle (feat. Kendrick Lamar)	Jay Rock, Kendrick Lamar	Redemption	spotify:track:0gV5B7zmJkS1aaH9APokrH
Business is Business (feat. Dave East & A$AP Ferg)	Godfather of Harlem, Dave East, A$AP Ferg	Business is Business (feat. Dave East & A$AP Ferg)	spotify:track:0L3bEQECxcC3wa7FxlJlqr
Holding up Balloons	Graham Candy	Holding up Balloons	spotify:track:65HK5KeDknOorU3LPgtthL
Vacation From Myself	Logic	Supermarket (Soundtrack)	spotify:track:4HGwlPELgeqGz0ndBxHtkh
Headlights	Tor Miller	Headlights	spotify:track:10aqooWuB8UBJBzF7SyE7D
Synesthesia	Andrew McMahon in the Wilderness	The Pop Underground EP	spotify:track:7EbVnljEpnmQT4JoeNY8cO
Only a Wave (Better Days)	Joshua Radin	Here, Right Now	spotify:track:0bX6tkdt64gVXrCH76Q0cE
Don't Waste My Time (feat. Ella Mai)	Usher, Ella Mai	Don't Waste My Time (feat. Ella Mai)	spotify:track:3Ey11v2aiX14s4wBaYbhlp
This World	Lena Fayre	This World	spotify:track:3jAmCqEfV3kD7pOjbaWuPy
Èkó	Coldplay	Everyday Life	spotify:track:41I6D0eHongsAtJrJRaTiU
Amsterdam - Live in Sydney	Coldplay	Live 2003	spotify:track:3TQs5AmPNEnnTNSXzCQV7G
Hustla’s Story (feat. Kendrick Lamar)	Cozz, Kendrick Lamar	Effected	spotify:track:4J56uEZtgVjuTi27Rvclag
Your Light	Joshua Radin	Here, Right Now	spotify:track:2RJGvni0eZDKf289QlqiCU
Sunrise	Coldplay	Everyday Life	spotify:track:2HQAeoYBn8H72Jo6UyKt6G
Moses - Live in Sydney	Coldplay	Live 2003	spotify:track:1n7a6D28s08972ImtPtaxX
Highly Anticipated (feat. Lil Durk)	Dave East, Lil Durk	Karma 2	spotify:track:6JAZBMpxhdg2BoyGOmiImh
Let Me Get Me	Selena Gomez	Rare	spotify:track:0uFForNKQPvgSCnxlZIhQy
Vulnerable	Selena Gomez	Rare	spotify:track:11OwAR3GlBj9E35Cznf7Lj
Here, Right Now (feat. Jerry Borgé) - Piano Instrumental	Joshua Radin, Jerry Borgé	Piano Instrumentals	spotify:track:1tU4gqvDWMMYrnCTWwZT3F
You Got Me Thinking (feat. Jerry Borgé) - Piano Instrumental	Joshua Radin, Jerry Borgé	Piano Instrumentals	spotify:track:5UEtbx55bnShXADPBMUhq9
Read Receipts	Saticöy, Jay Ham	Read Receipts	spotify:track:2adDhigwtPXi8fDD1dHaSW
new way	renforshort	new way	spotify:track:6BYa9kJ14c9MJsKqo1sz5f
Surrender	WALK THE MOON	Surrender	spotify:track:5txxcAhPScUewTiLJO1c6w
Infinity	AJR	Living Room	spotify:track:3i78lP1Y35m6Idgnbw9Fow
Can't Let Go (feat. Harry Hudson)	Frank Walker, Harry Hudson	Can't Let Go (feat. Harry Hudson)	spotify:track:2wlJujDcmEpJ4egO6Sx56w
We Were Children	AC, Brady James, Lindsey Shumaker	Vanity	spotify:track:3c8HO5SsSEdVhCUbBjnJ3F
Slam (Angel Miners)	AWOLNATION	Angel Miners & The Lightning Riders	spotify:track:7qVsMCptRS8tf4eIsQVHYR
Champion Of The World - Live at NPR's Tiny Desk	Coldplay	Champion Of The World (Live at NPR's Tiny Desk)	spotify:track:46mtcgDcwjjcherBLHMWH3
Jane	Roy Blair	Cat Heaven	spotify:track:34hUQ9ahInlX8q5T4Baeg1
What It Was (feat. Future)	Lil Gotit, Future	What It Was (feat. Future)	spotify:track:2q5NtOWy57wzao7RjMvXOM
Overnight	Maggie Rogers	Heard It In A Past Life	spotify:track:4L9l5x0WuzNtyEBeqzvgPE
Let Go	Zerbin	Darling	spotify:track:28aNseHVUFLy1v4e3tfOBY
Champion	99 Neighbors	Television	spotify:track:6SyJPb54GQ0Vy6Yqe9DDJM
Golden Age	Zayde Wølf	Golden Age	spotify:track:4KueI9XGXe0WmNFHFONmGr
My Way (feat. Common, Lloyd & Kendrick Lamar)	DJ Drama, Common, Lloyd, Kendrick Lamar	Quality Street Music	spotify:track:5R5P99xkLarzSolqb7xd7k
Cold Summers	Earl Sweatshirt	Some Rap Songs	spotify:track:0xUbrvxYljD4OZ02BbuPpK
Learned From Texas	Big K.R.I.T.	DOUBLE DOWN	spotify:track:4aBpRqTt1L3FwDwFzxgHeB
Rush - Acoustic	The Brook & The Bluff	Rush	spotify:track:4SpVCOrSfXuDTnpInrNhzU
K.R.I.T. HERE	Big K.R.I.T.	K.R.I.T. HERE	spotify:track:68a1QFrzqGeprtli75KCM9
Virtual Aerobics	Wallows	Virtual Aerobics	spotify:track:1fpGZJnHXFEbq8UIWIKmHH
Have U Found What Ur Looking For?	Ashton Irwin	Have U Found What Ur Looking For?	spotify:track:4vcs8xhyBk3J6XixP77gvs
King Of The Fall	The Weeknd	King Of The Fall	spotify:track:7o3Mcis1uKcYDuuJD1W0Rm
Hold On	Rockie Fresh, Wale, Arin Ray	Hold On	spotify:track:1PkP6JICvGNQkmrBpazdWl
Should've Been Me	Naughty Boy, Kyla, Popcaan	Should've Been Me	spotify:track:27Bm0wnZk7NGFGYoTuYM8Y
Sail Away	Surfaces	Sunday Best	spotify:track:7CCtQE65XpAk7gVVlI43qV
cherry blossom	slenderbodies	cherry blossom	spotify:track:44xUqPXksQ2MNtuF2AuRBN
Hailey	WRENN	Hailey	spotify:track:1bQ5gQOyzWbPl6TXFuvi8z
Our Gravity	Naia Izumi	Our Gravity	spotify:track:1bp9Gv8R3EQF6RbN8F8n4z
虹の端 - Rearrange	odol	虹の端 (Rearrange)	spotify:track:76UAdsJhnCHG86M11O7Qq2
Stumbling West	Thrice	Palms - Deeper Wells	spotify:track:6DZUwINpkn25FGGDlbTlX2
Always Something	Future Thieves	Always Something	spotify:track:5Kt8VNoQkHIT3amXV2JquY
Velvet Smile	The Giving Moon	Velvet Smile	spotify:track:3Q5kStmeLrgSF0hQ6oeCgi
Friends	Lydia	Liquor	spotify:track:5OlWfwnTpmQtH8nyFTDIJt
Andromeda	Weyes Blood	Andromeda	spotify:track:0L6lVIgGqVHnmR3BIy8GHa
In and Out of Love	Vera	In and Out of Love	spotify:track:6uRsPzgLfDtGWLhqf7pjco
Complicated	Eves Karydas	Complicated	spotify:track:7FfNuPXsmhAKaNPyhjecyt
Sideways	ILLENIUM, Valerie Broussard, Nurko	Sideways	spotify:track:0PMNxtgeNSmPPp4aiA4T8F
The Way	Trippie Redd, Russ	The Way (feat. Russ)	spotify:track:54JD6jMGpa3tLAgkSYdLwf
Vertigo	U2	How To Dismantle An Atomic Bomb	spotify:track:57ZXcBtCZXSg9TVV5xRdnR
On That Sht Again (feat. Ghostface Killah & RZA)	Wu-Tang Clan, Ghostface Killah, RZA	Of Mics And Men (Music From The Showtime Documentary Series)	spotify:track:5ccAoJvXbeORGndjBprquS
barcelona	Winnetka Bowling League, Sasha Alex Sloan	barcelona	spotify:track:3Ye0p2mpBSyOW4ewtnvX3w
lover/loner	Nightly	lover/loner	spotify:track:59ojG0SUFeBbFU7fHw9h2a
So What (feat. A R I Z O N A)	Louis The Child, A R I Z O N A	So What (feat. A R I Z O N A)	spotify:track:3By9IFm4E2BvKQygT04O8g
Better Days	Dermot Kennedy	Better Days	spotify:track:2vCKQ9NNCTXoAF8ltW0Zv9
Every Day With Love	Ne-Yo, Sonna	Every Day With Love	spotify:track:416wDolhM7izkMK9XZoklc
SPARK	Kilo Kish	SPARK	spotify:track:2KaEuSRVOTIGmIuZOZRi7N
Pain 1993 (with Playboi Carti)	Drake, Playboi Carti	Dark Lane Demo Tapes	spotify:track:6Kj17Afjo1OKJYpf5VzCeo
Anthems For A Seventeen Year Old Girl	Rosie Carney, Charli Adams	Anthems For A Seventeen Year Old Girl	spotify:track:4theWoXNBRcNzY43Mwdl7V
Babys - AIR Studios – 4AD/Jagjaguwar Session	Bon Iver	Babys (AIR Studios – 4AD/Jagjaguwar Session)	spotify:track:1ZhIYT728tBss9TA3FlBDw
VOID	Lil Nas X	MONTERO	spotify:track:3e6ebtUCZ0tZL1J7wvM8Xi
Surface Tension	Genevieve Stokes	Swimming Lessons	spotify:track:1bGKPg4WtESPEP3IjFscJq
Mine	BAYNK, Cub Sport	Mine	spotify:track:25VKwAAJ7YLvpTJ02yNV5x
Geyser	Mitski	Be the Cowboy	spotify:track:2fCdOF4nBAeQaXW84WjoiU
En Rogue	Lifehouse	En Rogue	spotify:track:5pniEKYfcoSIymm6fmUpOb
Static	Lifehouse	Static	spotify:track:3mJibHrM85ubAtl5xZWdbr
Cut & Run	Lifehouse	Cut & Run	spotify:track:38ge4nNpegJgtpkLv2VdU1
Dragonflies	Lifehouse	Dragonflies	spotify:track:5mFS6BhZZIA5LMW8GsyLa5
Deep Pockets	Drake	Dark Lane Demo Tapes	spotify:track:3IvMYBE7A3c7to1aEcfFJk
Safe	All Time Low	Wake Up, Sunshine	spotify:track:3IDgkcLETJkpp43cad5SwB
Clumsy	All Time Low	Wake Up, Sunshine	spotify:track:2z81IGdOL54S59AUdcFkw5
Do Better Blues W/ Jhene Aiko	Hope Wright	Believe in Hope Wright	spotify:track:24yhhDyaAJ54ppDz70AraY
Overtime	ScHoolboy Q, Miguel, Justine Skye	Blank Face LP	spotify:track:5lsrKf4mzIO4gA9U9eBYms
Stars Align (with Drake)	Majid Jordan, Drake	Wildest Dreams	spotify:track:2lBExcAjBgX7Jb480goU9B
Gentle On My Mind	The Band Perry	Glen Campbell I'll Be Me Soundtrack	spotify:track:3BGXzcX7YtQySO5wF1h5b2
BUFFALO (feat. Shane Powers)	Tyler, The Creator, Shane Powers	Cherry Bomb	spotify:track:1qkPQxOTLFmx3bwUOV8Kzw
The Bloom (AG3)	Wale, Stokely Williams	The Album About Nothing	spotify:track:3DIVCg9ttv79atkxohpFPI
Not Long	Ludacris, Usher	Ludaversal	spotify:track:4LidIYuj8sR7QYWALQJvnm
Never Been In Love (RAC mix)	Elliphant, RAC	Never Been In Love (Remixes)	spotify:track:04fZdBaYooG156ptEOIXkg
See You Soon - Live in Sydney	Coldplay	Live 2003	spotify:track:4o0q6U6VX4a0VTZ06GOxg2
Time Flies	Drake	Dark Lane Demo Tapes	spotify:track:5H4mXWKcicuLKDn4Jy0sK7
Wasting Time ( feat. Drake & The Neptunes )	Brent Faiyaz, Drake, The Neptunes	Wasting Time ( feat. Drake & The Neptunes )	spotify:track:48WidxP9CqyYtk97pwGZ3c
Paris Morton Music	Drake	Care Package	spotify:track:73IE87H0g2MBmdn41lkVto
Bring It on Home to Me	Scary Pockets, Hunter, Joshua Radin	Off Center	spotify:track:1CzLyvkDVAu7RVCbCAOzUS
Blood (with Gang of Youths) - Live From Stockholm	Mumford & Sons, Gang of Youths	Delta Tour EP	spotify:track:2j8KsRRs0vbk8P9sAa1Cny
Awake My Soul (with The Milk Carton Kids) - Live From Denver	Mumford & Sons, The Milk Carton Kids	Delta Tour EP	spotify:track:1kQEy8l4vhDiDSPcOuHNGf
Fall at Your Feet - Live in Ireland	James Blunt	Chasing Time: The Bedlam Sessions	spotify:track:4ZJXMf4XVSyOi8RK40AXCh
Alone	Dave East, Jacquees	Survival	spotify:track:0lnuFBWmq2KSQ9oyNYExNh
Should I Give It All Up (demo)	James Blunt	Once Upon A Mind (Time Suspended Edition)	spotify:track:5drxAfMsNi3NUs2rhZp8ag
Stay With You	Maria Taylor, Joshua Radin	Maria Taylor	spotify:track:60SUMKg8AukLDKCc55NKzp
Summer Daze (Seasons, Pt. 2)	All Time Low	Wake Up, Sunshine	spotify:track:7AQG7amrUS84JzsarjS28y
Only a Wave (Better Days) - Acoustic	Joshua Radin	Only a Wave (Better Days) [Acoustic]	spotify:track:1o5WUEmOnpykMcKmCJiEz4
Hey You	Joshua Radin	The Ghost and the Wall	spotify:track:1bFJ0r89CnY0wTz95hcKWc
Present	Khalid	Scenic Drive (The Tape)	spotify:track:6QCroz7QTlutAIo7MG6eax
Backwards Breathing	The Head And The Heart	Living Mirage: The Complete Recordings	spotify:track:0khIahkzqdqrX4Yt3xz6FO
Don't Dream It's Over	The Head And The Heart	Don't Dream It's Over	spotify:track:4b1hVHiZrltoXPDskF0mCp
Living Mirage	The Head And The Heart	Living Mirage	spotify:track:3X8p1YDdZmvVYwHq0e5oYQ
Phobia - Wuh Oh Remix	Nothing But Thieves, Wuh Oh	Phobia (Wuh Oh Remix)	spotify:track:7BZGupqhRPoeIguNyYbHUy
Ce n'est Rien	Nothing But Thieves	Moral Panic II	spotify:track:0bJ3tEUaUQewD9EUTuh2XX
Mad About You	McFly	Young Dumb Thrills	spotify:track:0Za4FeFmSA8QflxT6AhmCR
How You Live It (feat. Joey Bada$$)	Nyck Caution, Joey Bada$$	How You Live It (feat. Joey Bada$$)	spotify:track:6dW64vFw23XYoPihztXZuv
On My Shit (feat. Joey Bada$$)	Phony Ppl, Joey Bada$$	On My Shit (feat. Joey Bada$$)	spotify:track:4Mj9FULUmiSVbcN0EcWo5r
No Explanation	Joey Bada$$, Pusha T	The Light Pack	spotify:track:7FW4HUo39yRwGVxEoHqTa4
Problemz (feat. Erick The Architect, CJ Fly, The Underachievers, Zombie Juice & Nyck Caution)	Beast Coast, Joey Bada$$, Flatbush Zombies, Erick the Architect, CJ Fly, The Underachievers, Zombie Juice, Nyck Caution	Escape From New York	spotify:track:0IXJuf4reoQ5erS5kEqdwx
Cautionary Tales	Jon Bellion	Glory Sound Prep	spotify:track:6BbANlpji0u8ZlqyPVMQiM
Purified (feat. Joey Bada$$, CJ Fly & Aaron Rose)	Powers Pleasant, Aaron Rose, CJ Fly, Joey Bada$$	Life Is Beautiful	spotify:track:4zI513LSDrzeb0EmWsXLr2
Chasing_(Demo)	NF, Mikayla Sippel	Chasing_(Demo)	spotify:track:4f80SteKqaB6M2JytEUrwT
Rebound (feat. Joey Bada$$)	Tayla Parx, Joey Bada$$	We Need To Talk	spotify:track:31WDH2ZTuXtcOjGwDxZnY3
PAID MY DUES	NF	CLOUDS (THE MIXTAPE)	spotify:track:6ziQdexOHyC2gkZ1iNoi1w
Happy Without Me (feat. Joey Bada$$)	Chloe x Halle, Joey Bada$$	The Kids Are Alright	spotify:track:1mQI744KrltnCU798zIGEe
Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)	Beast Coast, Joey Bada$$, Flatbush Zombies, Kirk Knight, Meechy Darko, Erick the Architect, Nyck Caution, Powers Pleasant	Escape From New York	spotify:track:10nbIPV2SRLqEjIpvS8CVb
Outro	NF	Perception	spotify:track:7uax1a1G4cg1GgokfakTnN
Nate	NF	The Search	spotify:track:1SDtZ69uALD5zW8k9S8hTf
High Today (feat. Logic)	Wiz Khalifa, Logic	The Saga of Wiz Khalifa (Deluxe)	spotify:track:3Bga6UWPipOwVQG6WMOzqJ
Crazy World (feat. Christy Dignam) - Live from Dublin	The Script, Christy Dignam	Acoustic Sessions	spotify:track:49ONHnKF5FyLt3Fr1fP36e
Note To Self (Feat. Big Sean, Wale, Joey Bada$$ & Hitboy)	Russ, Big Sean, Hit-Boy, Wale, Joey Bada$$	CHOMP 2	spotify:track:5GSUrmDtxynQhBDLz7X2Mt
GP4	Logic	No Pressure	spotify:track:1OmmCrliFMIWzNke437KHE
Hit My Line	Logic	No Pressure	spotify:track:24FR8mXTaiGZPrxnkf1kcP
Unsure (feat. Joey Bada$$, Yung Bleu & Arin Ray)	DJ Megan Ryte, Joey Bada$$, Yung Bleu, Arin Ray	Unsure (feat. Joey Bada$$, Yung Bleu & Arin Ray)	spotify:track:1iznyhhFmMK9XckzdXrH9G
DadBod	Logic	No Pressure	spotify:track:2Wf2u3sZ8rR1sdiBuSbeR0
Open Mic\\Aquarius III	Logic	No Pressure	spotify:track:4L6QpiLxCLok9wZfFIdiqF
Malcolm X	EastSide K-Boy, Kendrick Lamar	Malcolm X	spotify:track:7qBOcD57Mi0ISXCXL6EOFu
See You Space Cowboy...	Logic	Bobby Tarantino III	spotify:track:2wRHD4n81GyhlVMxYJ0nks
Either Way (feat. Joey Bada$$)	Snakehips, Anne-Marie, Joey Bada$$	Either Way (feat. Joey Bada$$)	spotify:track:3nodtPfXcok53E8Uze8gvD
Easy (with Kacey Musgraves feat. Mark Ronson)	Troye Sivan, Kacey Musgraves, Mark Ronson	Easy (with Kacey Musgraves feat. Mark Ronson)	spotify:track:4XWaUb7mKRcJR5RPp4IIDr
Mirrors (Thuggin) - Lotus & ADroiD Mix	Lotus, Glasses Malone, Kendrick Lamar, ADroiD	Mirrors (Thuggin) [Lotus & ADroiD Mix]	spotify:track:104WpAwwfLLPY1zF8KnA2L
White Dress	Lana Del Rey	Chemtrails Over The Country Club	spotify:track:4Hl9rOqYomojCmxYfr25im
Smack DVD (feat. Kanye West)	SAINt JHN, Kanye West	Smack DVD (feat. Kanye West)	spotify:track:1Si3sqUkvIj6Cz9JYO14OS
Drive Away	The Brummies, Kacey Musgraves	Eternal Reach	spotify:track:2eWigKu3KImA4oJyF6OAYM
OSOM (feat. J. Cole)	Jay Rock, J. Cole	Redemption	spotify:track:7ywpvpQnbaFMBXXh47GS8N
Tulsa Jesus Freak	Lana Del Rey	Chemtrails Over The Country Club	spotify:track:0hyImI8JaWONOrzKH7kJsC
Yosemite	Lana Del Rey	Chemtrails Over The Country Club	spotify:track:3WIifw9lqdgSZpt9renBAg
Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)	Sixx:A.M., Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext	Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)	spotify:track:1rptK1oec3gjHpzzrxHyln
Let's Go	Royce Da 5'9"	Rock City	spotify:track:2C3qUAp1HTvai7ulkGNMOi
Welcome Back (feat. Alessia Cara)	Ali Gatie, Alessia Cara	Welcome Back (feat. Alessia Cara)	spotify:track:50I4Px0ip8mYOT2TwUZT8k
Watch The Sky Fall 2	Koncept, Royce Da 5'9"	Watch The Sky Fall 2 (feat. Royce Da 5'9")	spotify:track:7MZmSfTJRP3rzfAGrXckSF
Lion King On Ice	J. Cole	Lewis Street	spotify:track:1ZvBVbsaNqHEP6ymXaPGlj
Dark But Just A Game	Lana Del Rey	Chemtrails Over The Country Club	spotify:track:1dBBmAddRRIw6GwF7dPz6z
Sacrifices (feat. EARTHGANG, J. Cole, Smino & Saba)	Dreamville, EARTHGANG, J. Cole, Smino, Saba	Revenge Of The Dreamers III	spotify:track:0wTvNNRiZ16sZL1akT5XD5
My Way	Logic	Bobby Tarantino III	spotify:track:26xfrX9phl1NNsz1H5TJJn
It's Tuesday - Intro	Royce Da 5'9"	Rock City	spotify:track:0IX0RaAbrKOixQ8ZGUAJhG
God Rest Ye Merry Gentlemen	David Archuleta	Winter in the Air	spotify:track:4bO8n41XGi0xxFvpU2vqiX
untitled	Logic	Bobby Tarantino III	spotify:track:4ADNavlMOA9rx9hKw51PCW
Jesseye' Lisabeth	Mercury Rev, Phoebe Bridgers	Bobbie Gentry's The Delta Sweete Revisited	spotify:track:2Oz5gUvKTkhRNgZzm6eZQa
Not All Who Wander Are Lost	Lana Del Rey	Chemtrails Over The Country Club	spotify:track:0Z3JiHn6mhcObPmKhV9WRW
The Use In Trying	Alessia Cara	The Use In Trying	spotify:track:5ntlf6H1CTaqmZWbRgr0y8
Bed I Made (with Alessia Cara)	Allen Stone, Alessia Cara	Bed I Made (with Alessia Cara)	spotify:track:0R9nbYwWl8WEBlaU3cIQjL
Beautiful	Lana Del Rey	Blue Banisters	spotify:track:5uPpzqixdzAMXprr4P5aT5
Daylight (feat. Phoebe Bridgers)	Zander Hawley, Phoebe Bridgers	I Wish I Was	spotify:track:3q3HnCW2LTMfgUcVie8Nwz
Who Am I	Royce Da 5'9"	Rock City	spotify:track:1KXmIZVwlbm1rtI6UsY01c
Mountain Crystals (feat. Phoebe Bridgers)	Luminous Kid, Phoebe Bridgers	at the end of the dream	spotify:track:4f0PNAFcKFTBtvA6lFz6Hl
Pure Souls	Kanye West	Donda (Deluxe)	spotify:track:3KXh1h4Yy3YEtB8Hhyfk6k
Under The Sun (with J. Cole & Lute feat. DaBaby)	Dreamville, J. Cole, Lute, DaBaby	Revenge Of The Dreamers III: Director's Cut	spotify:track:5pu7aEkjSMFVxFiboIDixE
Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)	Dreamville, J. Cole, Zoink Gang, KEY!, Maxo Kream	Revenge Of The Dreamers III: Director's Cut	spotify:track:5bnMRsrpblLaINuPh6b6QA
Shed a Tear - Live from Irving Plaza, NYC, 4 Dec 2018	Kodaline	Live from Irving Plaza, NYC, 4 Dec 2018	spotify:track:4csb2hXbiQhitBMW2AZ489
What's On Your Mind?	Alessia Cara	This Summer	spotify:track:4TwDtw8I224dm9FEs4a0Vo
Timberlan'd Up (feat. Royce Da 5'9")	Apollo Brown, Joell Ortiz, Royce Da 5'9"	Timberlan'd Up (feat. Royce Da 5'9")	spotify:track:3n3LOZwehbW5YNTOaujHTH
Beast	David Archuleta	Beast	spotify:track:6LpwBgIU5emPlfZMXPECp9
Only You Know	Beach House	Once Twice Melody	spotify:track:1pCHi3zHca7jgR27Sfu7L8
From a Distance	David Archuleta, Rexburg Children's Choir	From a Distance	spotify:track:1XkfNqCBCIfEfpR3ik4tuK
Watercolor Eyes - From “Euphoria” An HBO Original Series	Lana Del Rey	Watercolor Eyes (From “Euphoria” An HBO Original Series)	spotify:track:1G1R0XgChe18Zr1o6tlmN6
c l o s e	J. Cole	The Off-Season	spotify:track:4YiY551vHi6glMtgVxuqAy
One Day - Live from Irving Plaza, NYC, 4 Dec 2018	Kodaline	Live from Irving Plaza, NYC, 4 Dec 2018	spotify:track:0WXafwGWAOrOyjZrZuCQol
Upside Down	Royce Da 5'9", Ashley Sorrell, Benny The Butcher	The Allegory	spotify:track:12KWNFXwQYLdfjYM2bAFY4
My Calling	PRhyme	PRhyme 2	spotify:track:22Lg27AXEA7Ldes51lJ3Ap
Everyday Struggle	PRhyme, Chavis Chandler	PRhyme 2	spotify:track:60OMP3kDOcRMouWYhuCGpr
Gotta Love It	PRhyme, CeeLo Green, Brady Watt	PRhyme 2	spotify:track:4ydAdjV7GyGk8zRLXZBvwk
Love Will Set You Free - Live from Irving Plaza, NYC, 4 Dec 2018	Kodaline	Live from Irving Plaza, NYC, 4 Dec 2018	spotify:track:4cii6SksrTQ4pDORMVrhsa
Woke	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:3H9odJeM9cY7ZkMMwoweuB
God Speed (feat. Ashley Sorrell)	Royce Da 5'9", Ashley Sorrell	Book of Ryan (Bonus Track Edition)	spotify:track:7FaiQ23IHbxW2wZGtsmBc8
Life Is Fair	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:1IQmxqhjoVGYR1o32nMeBP
Shame	Storefront Church, Phoebe Bridgers	Shame	spotify:track:1CO20Ce6dz5gDmbMIZ4lqS
Walking on a String - Alt Version	Matt Berninger, Phoebe Bridgers	Walking on a String	spotify:track:1RYiVn72Ilc1c6y7bfUEMi
HELLS FURY	RJ Payne, Papoose, Royce Da 5'9", CORY GUNZ, RAH DIGGA, DJ KAY SLAY	HELLS FURY	spotify:track:502xtejWkEPPxBekJWv0YU
Can't Lose	Apollo Brown, Phat Kat, Royce Da 5'9", DJ Los	Sincerely, Detroit	spotify:track:5LDFNswnlzwCY7k7pj8Mv2
Outside (feat. Marsha Ambrosius & Robert Glasper)	Royce Da 5'9", Marsha Ambrosius, Robert Glasper	Book of Ryan (Bonus Track Edition)	spotify:track:4CbzlPFA0vWlboiwsFfnzH
Glittery - From The Kacey Musgraves Christmas Show	Kacey Musgraves, Troye Sivan	The Kacey Musgraves Christmas Show	spotify:track:4dFtIGQBrYjiskk7fN5Wmx
Selfish	Slum Village, John Legend, Kanye West	Selfish	spotify:track:3Z3Fs0QhlvrJVRBHwzAFnQ
Good in the Bad	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:552XPfQ28XgILMl30ZJ8y1
In the Bleak Midwinter	David Archuleta	Winter in the Air	spotify:track:7E9oo2eMBOLk8ywnrK4Fv0
You Worry	David Archuleta	Therapy Sessions - The Lost Sessions	spotify:track:5fPpJjZNd4vWwaTMNt8c2w
Winter in the Air	David Archuleta	Winter in the Air	spotify:track:73ngq0Lr01fYBThFkX08fX
All My Friends	Kodaline	In A Perfect World (Collection)	spotify:track:5eaazG8VvgNkUTR5VPiv3L
Running To Stand Still	Kodaline	Stargazing	spotify:track:6Q0iXHUmh2hWgeLgBirTFq
Looking For America	Lana Del Rey	Looking For America	spotify:track:31FBEeTXpaeCncCbCmS7ax
Number 13	Nothing But Thieves	Broken Machine (Deluxe)	spotify:track:2dgrCJ9raXfG4XrjUYFYyo
Go Off (Official Remix)	Kid Vishis, Royce Da 5'9"	Go Off	spotify:track:4fmBlPy6IKM6wsbAf5mNzE
My Hands - AOL Session	David Archuleta	AOL Sessions	spotify:track:4CLfc3er3phJpORnDZq0yp
Country Does	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:67F7WdWGyDRri9bA3DJRo4
Waves	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:027269uzraETHuoG6aMs6a
Bill Dance	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:0memf7hLiIILELAxceoXzc
Illusion	Zedd, Echosmith	True Colors	spotify:track:3ID8CH6UCMCIhcGg4Yfy4d
Common Ground	Kodaline	In A Perfect World (Collection)	spotify:track:7oOTgvRTjRWzAHZ6SaJv66
Rap Sh*t	Royce Da 5'9", Mister K.A. Beats, Liquid Assassin	Rap Sh*t	spotify:track:4MrikguQTDTRBTylHPOSdm
Ppr:kut (Cheapshot and Jubacca Reanimation) [feat. Rasco and Planet Asia]	Linkin Park, Planet Asia, Rasco	Reanimation	spotify:track:0HIHiUyybKHO5mHVC2oDb0
Hustlaz	Lupe Fiasco, Chill's Spotlight	Hustlaz	spotify:track:5mV02eybPC77hODuGYd054
Pts.Of.Athrty - Jay Gordon Reanimation	Linkin Park	Reanimation	spotify:track:0T7fLoDpZcSFYybJ3xXtgd
Frgt/10 (Alchemist Reanimation) [feat. Chali 2na]	Linkin Park, Chali 2na, The Alchemist	Reanimation	spotify:track:74vx4esXPmbR3TFhqpOtyc
P5hng Me A*wy (Mike Shinoda Reanimation) [feat. Stephen Richards]	Linkin Park, Stephen Richards	Reanimation	spotify:track:1oWnt2RJ2yC8kTkxLHcL1x
Plc.4 Mie Hæd (Amp Live Reanimation) [feat. Zion]	Linkin Park, Zion I	Reanimation	spotify:track:5o8D9iumZKT9hHPzhh8viT
Field Negro	Royce Da 5'9"	Field Negro	spotify:track:5qx9NcQkrgOIG1yjDlES2p
POWERLESS - Enferno Remix	Linkin Park, Enferno	RECHARGED	spotify:track:5150defNCFB2QSqEMpVIJ7
Remember Home	Sebastian Kole, Alessia Cara	SOUP	spotify:track:5PZz7SS9xn37TNlf4gTP8n
