Other Songs I Know	Artists	ID	ExCol
...Baby One More Time	Britney Spears	...Baby One More Time (Digital Deluxe Version)	spotify:track:3MjUtNVVq3C8Fn0MP3zhXa
Scream & Shout	will.i.am, Britney Spears	#willpower	spotify:track:2iJuuzV8P9Yz0VSurttIV5
Just Can’t Get Enough	Black Eyed Peas	The Beginning	spotify:track:3JA9Jsuxr4xgHXEawAdCp4
One Time	Justin Bieber	My World	spotify:track:6eDApnV9Jdb1nYahOlbbUh
One Less Lonely Girl	Justin Bieber	My World	spotify:track:69ghzc538EQSVon2Gm3wrr
Baby	Justin Bieber, Ludacris	My World 2.0	spotify:track:6epn3r7S14KUqlReYr77hA
Somebody To Love	Justin Bieber	My World 2.0	spotify:track:3rLIv187BhjyweFe89SgLn
Shake That	Eminem, Nate Dogg	Curtain Call: The Hits	spotify:track:64649mwn5MP4gz1eIOAerx
White Walls (feat. ScHoolboy Q & Hollis)	Macklemore & Ryan Lewis, Hollis, ScHoolboy Q	The Heist	spotify:track:6I3KeXBT0E9MoMqYz8srVq
Bohemian Rhapsody - Remastered 2011	Queen	A Night At The Opera (Deluxe Remastered Version)	spotify:track:7tFiyTwD0nx5a1eklYtX2J
We Will Rock You - Remastered 2011	Queen	News Of The World (Deluxe Remastered Version)	spotify:track:54flyrjcdnQdco7300avMJ
I Don't Want to Miss a Thing - From "Armageddon" Soundtrack	Aerosmith	Armageddon - The Album	spotify:track:225xvV8r1yKMHErSWivnow
Dream On	Aerosmith	Aerosmith	spotify:track:5MxNLUsfh7uzROypsoO5qe
Walk This Way	Aerosmith	Toys In The Attic	spotify:track:5SZ6zX4rOrEQferfFC2MfP
Survivor	Destiny's Child	Survivor	spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi
That's What You Get	Paramore	Riot!	spotify:track:1JdKrFyoU05abww0Zv0ayQ
That's Not My Name	The Ting Tings	We Started Nothing	spotify:track:2DNdEpV9UnsYjL6w1Dp1aS
American	Macklemore	The Unplanned Mixtape	spotify:track:5m4X2HQ0eiviwuKPoREanT
I'm Back	Eminem	The Marshall Mathers LP	spotify:track:3xVtc7PB4V3AqAfq4Iahli
Tamale	Tyler, The Creator	Wolf	spotify:track:60b6B2ULC85t4Y5IjZvP7A
Sweet Caroline	Neil Diamond	Love Songs	spotify:track:6b5PBL2QNXmAt1DfqbwO9Z
Almost Famous	Eminem	Recovery	spotify:track:0ANExk8Iu85oqCgk82rG64
6 Foot 7 Foot	Lil Wayne, Cory Gunz	Tha Carter IV (Deluxe)	spotify:track:0z5ZPs57J2KERwM1tBM2GF
Numb	Rihanna, Eminem	Unapologetic	spotify:track:05IyqbGd19RBeCNFMfnGQe
Won't Back Down	Eminem, P!nk	Recovery	spotify:track:7kNlRLC9PEH8nXMVawssMx
Straight Outta Compton	N.W.A.	Straight Outta Compton (2002 - Remaster)	spotify:track:4LujRMTMwAfFKjm45tixHY
Cleanin' Out My Closet	Eminem	The Eminem Show	spotify:track:7BMO7O7ImjV8HNTH74Tshv
