Rank,Rating,Artist,Number of Songs,Number of Songs Disliked,Number of Songs Unheard,Number of Songs Undecided,Number of Songs Loved,Songs In Queue,Total Songs Reviewed,Remaining Importance,Unheard Importance,Inflation Factor,Lowest Possible Rating,Highest Possible Rating,Lowest Queue Rating,Highest Queue Rating,Highest Possible Ranking,Lowest Possible Ranking,Highest Queue Ranking,Lowest Queue Ranking,Highest Immediate Ranking,Lowest Immediate Ranking,Possible Rankings,Possible Queue Rankings,Possible Immediate Rankings,Range,Queue Range,League,Test Rating
T2126,0.0,Mishegas,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Miss Charm Taylor,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Miss Fortune,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Miss Kittin,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Miss Lafamilia,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Miss Li,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Missio,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mission,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,MistaJam,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Mister K.A. Beats,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Misun,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mitch James,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mitchell Tenpenny,0,0,10,10,0,0.0,0,0,0,10.0,-10.0,10.0,-0.0,0.0,93,15337,2126,2728,172,15336,15245,603,15165,20.0,0.0,None,
T2126,0.0,Mitchelle'l,0,0,1,2,0,1.0,0,0,0,2.0,-2.0,2.0,-1.0,1.0,295,15333,802,14008,526,15122,15039,13207,14597,4.0,2.0,None,
T2126,0.0,Mitchl,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mitchy Slick,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mithoon,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mixed Matches,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Miya Folick,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Miynt,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mk.gee,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Mnnyyz,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mo Lowda & the Humble,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mo'Jam,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mo-T,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moana,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mob Rich,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,Mobley,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mod da God,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moda Spira,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Model Tenant,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moderat,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Modern English,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Modern Maps,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Modern Space,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Modesty,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,MoeRoy,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Moelogo,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Moflo Music,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mogli the Iceburg,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moglii,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moh Flow,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Moira Waugh,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mojo,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moka Nola,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moke Hill,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Moksi,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Molly,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Molly Burch,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Molly Bush,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Molly Kate Kestner,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Molly Moore,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Molly Parden,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Molly Skaggs,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Molly Tuttle,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Molly Tuttle & Golden Highway,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moma Gabbana,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mon Laferte,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mona,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Monakr,0,0,1,2,0,1.0,0,0,0,2.0,-2.0,2.0,-1.0,1.0,295,15333,802,14008,526,15122,15039,13207,14597,4.0,2.0,None,
T2126,0.0,Monaleo,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Monarchy,0,0,0,1,0,1.0,0,0,0,1.0,-1.0,1.0,-1.0,1.0,479,14633,802,14008,830,13904,14155,13207,13075,2.0,2.0,None,
T2126,0.0,Monchy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Monday,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mondo Cozmo,0,0,9,9,0,0.0,0,0,0,9.0,-9.0,9.0,-0.0,0.0,100,15337,2126,2728,185,15335,15238,603,15151,18.0,0.0,None,
T2126,0.0,Money Mark,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Monica Heldal,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Monica Martin,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Monifah,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Monkey Majik,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Monogem,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Monopol,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Monsta X,0,0,10,10,0,0.0,0,0,0,10.0,-10.0,10.0,-0.0,0.0,93,15337,2126,2728,172,15336,15245,603,15165,20.0,0.0,None,
T2126,0.0,Monsune,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mont Duamel,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Montage One,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Montell Fish,0,0,7,7,0,0.0,0,0,0,7.0,-7.0,7.0,-0.0,0.0,119,15337,2126,2728,231,15335,15219,603,15105,14.0,0.0,None,
T2126,0.0,Mooch,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moody Joody,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moodymann,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Moon Boots,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moon Taxi,0,0,8,8,0,0.0,0,0,0,8.0,-8.0,8.0,-0.0,0.0,110,15337,2126,2728,199,15335,15228,603,15137,16.0,0.0,None,
T2126,0.0,Moonchild Sanelly,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moonfall,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moonshine Man,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moontower,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Moore Kismet,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Moorland,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moose Blood,0,0,7,7,0,0.0,0,0,0,7.0,-7.0,7.0,-0.0,0.0,119,15337,2126,2728,231,15335,15219,603,15105,14.0,0.0,None,
T2126,0.0,Mooski,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,MorMor,0,0,6,6,0,0.0,0,0,0,6.0,-6.0,6.0,-0.0,0.0,133,15337,2126,2728,260,15331,15205,603,15072,12.0,0.0,None,
T2126,0.0,Mora,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morat,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mordkey,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,More Fatter,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,More Giraffes,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,More Plastic,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morgan Evans,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Morgan Parker,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Morgan Saint,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Morgan St. Jean,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morgan Taylor Reid,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morgan Wade,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Morgane Stapleton,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moriah,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moriah Hazeltine,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morning Bear,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morning Midnight,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morning Parade,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morningsiders,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Moroccan Doll,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moron Police,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Morray,0,0,8,9,0,1.0,0,0,0,9.0,-9.0,9.0,-1.0,1.0,100,15337,802,14008,185,15335,15238,13207,15151,18.0,2.0,None,
T2126,0.0,Morrissey & Marshall,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mos Isley,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mosa Wild,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Mosaic MSC,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mosel,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moses Boyd,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moses Sumney,0,0,11,11,0,0.0,0,0,0,11.0,-11.0,11.0,-0.0,0.0,84,15337,2126,2728,159,15336,15254,603,15178,22.0,0.0,None,
T2126,0.0,Motel 7,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Motel Radio,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Motez,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mother Falcon,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Motherfolk,0,0,4,4,0,0.0,0,0,0,4.0,-4.0,4.0,-0.0,0.0,184,15337,2126,2728,338,15312,15154,603,14975,8.0,0.0,None,
T2126,0.0,Mothers,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Motion City Soundtrack,0,0,3,3,0,0.0,0,0,0,3.0,-3.0,3.0,-0.0,0.0,240,15336,2126,2728,404,15268,15097,603,14865,6.0,0.0,None,
T2126,0.0,Motionless In White,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moto Blanco,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Motohiro Hata,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mougleta,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mounika.,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mountain Boy,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mountain Man,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,MountainCity,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mouse Jones,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Movements,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moving Mountains,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moxie Raia,0,0,5,5,0,0.0,0,0,0,5.0,-5.0,5.0,-0.0,0.0,148,15337,2126,2728,287,15324,15190,603,15038,10.0,0.0,None,
T2126,0.0,Moxiii Double Dee,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Moz-Art,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mozzy,0,0,51,53,0,2.0,0,0,0,53.0,-53.0,53.0,-2.0,2.0,33,15337,506,15163,41,15338,15305,14658,15298,106.0,4.0,None,
T2126,0.0,Mr Eazi,0,0,16,16,0,0.0,0,0,0,16.0,-16.0,16.0,-0.0,0.0,61,15337,2126,2728,112,15338,15277,603,15227,32.0,0.0,None,
T2126,0.0,Mr FijiWiji,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mr Gabriel,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mr Jukes,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mr Little Jeans,0,0,1,1,0,0.0,0,0,0,1.0,-1.0,1.0,-0.0,0.0,479,14633,2126,2728,830,13904,14155,603,13075,2.0,0.0,None,
T2126,0.0,Mr Sanka,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
T2126,0.0,Mr. Carmack,0,0,2,2,0,0.0,0,0,0,2.0,-2.0,2.0,-0.0,0.0,295,15333,2126,2728,526,15122,15039,603,14597,4.0,0.0,None,
