Songs I Love	Artists	URI
Wait	NF	Mansion	spotify:track:3DfIQJULYY97h8mUtzewve
Fight Song	Rachel Platten	Fight Song - EP	spotify:track:6bRbeEgg8v8BQ0HuVuPE7v
Obsessions	MARINA	The Family Jewels	spotify:track:0X3VdkebZGTuL9sMOMoyHy
Watch Me Rise	Mikky Ekko	Time (Spotify Exclusive)	spotify:track:3UEM6JwE7AQ2mi2TXegfRZ
Working It Out - Apollo Edition Version	James Blunt	Moon Landing (Special Apollo Edition)	spotify:track:0dIi5kmxSjpaRiAQrCfJYN
Our Last Days	The Fray	Helios	spotify:track:6xphDvC3ctr99cgNFKErB4
Bonfire Heart	James Blunt	Moon Landing	spotify:track:6H2NtlZr110yO3uwphiTKk
When I Find Love Again - Apollo Edition Version	James Blunt	Smoke Signals EP	spotify:track:1NBO7Zi2gy6UovWHe6A1m1
The Only One	James Blunt	Moon Landing	spotify:track:3wLIjxgviQ217OJD1kSDBA
Postcards	James Blunt	Moon Landing	spotify:track:1NjO5wvoY6TKhbHyNFFx7M
She Is	The Fray	How To Save A Life	spotify:track:5Re8AyLirdL9F5VeLI8JzN
Pay for It (feat. Kendrick Lamar & Chantal)	Jay Rock, Kendrick Lamar, Chantal	Pay for It (feat. Kendrick Lamar & Chantal)	spotify:track:3uya2Ph2zB84JMR28vqWK0
Immortal	MARINA	Immortal	spotify:track:1gK1aTyM5p05SOY8EG64ng
Bones	James Blunt	Moon Landing	spotify:track:6qt3dy70aj4hDlocqgEMzQ
Syndicate	The Fray	The Fray	spotify:track:7trg1faBmQrr7zxr4U7SOr
Impossible	Shontelle	No Gravity	spotify:track:45EDI3rk0f4cAMt9f8b56R
Absolute	The Fray	The Fray	spotify:track:6sSDEFMeyf16WRDLRCXwTc
Face the Sun	James Blunt	Moon Landing	spotify:track:2leGZYMwS4KBUqAWdJqaGF
Gang Related	Logic	Under Pressure (Deluxe)	spotify:track:1Kp6WFxRzc0sRBmGSgIYat
I See You	Luke Bryan	Crash My Party (Deluxe)	spotify:track:2xU8vkMMz0kOtrm5SfGFf4
Beautiful Now	Zedd, Jon Bellion	True Colors	spotify:track:2ISSQPb9LHHiV6ng2NXosL
Blame It on Me	George Ezra	Wanted on Voyage	spotify:track:2prdNAY0rlnRSEer2WDBMs
Young Again (feat. Chris Jones)	Hardwell, Chris Jones	United We Are	spotify:track:34KQF8skhr9S0b2Y6N7RIq
A Thousand Years	Christina Perri	A Thousand Years	spotify:track:6lanRgr6wXibZr8KgzXxBl
Flight	Lifehouse	Flight	spotify:track:6RFl76IIkZLE6FozNwuXLh
100 Years	Five For Fighting	The Battle For Everything	spotify:track:0B5KeB25moPkcQUnbDvj3t
One for the Pain	Lifehouse	Out of the Wasteland	spotify:track:4P7gEQhC2ymxA2JyKC5zYX
Never Forget You (feat. John Legend)	Lupe Fiasco, John Legend	Lasers	spotify:track:16M784K4oOtOPZENwXpH0G
Between The Raindrops	Lifehouse, Natasha Bedingfield	Almeria (Deluxe)	spotify:track:1nxGSNnFCpDLwm3umCOUpi
Oh, Calamity!	All Time Low	Don't Panic: It's Longer Now!	spotify:track:40t2E0HHaaUTp0dolN4dNp
Savages	MARINA	Froot	spotify:track:3YjH3TIf5SOpFlnqlRdNAE
Car Radio	Twenty One Pilots	Vessel	spotify:track:5cbpoIu3YjoOwbBDGUEp3P
